Tool Findings (normalized)
===========================
Ground truth : mixed_ground_truth_dataset_20260126T232109Z_496_1224
Tool         : oss-index
Run ID       : 20260127T135127Z
Total        : 1079 findings

Ecosystem  | Component                                  | Version   | CVE             | GHSA  | OSV-ID  | Affected-Range  | Source   
-------------------------------------------------------------------------------------------------------------------------------------
maven      | ch.qos.logback:logback-core                | 1.5.23    | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.7.2     | CVE-2025-27817  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.7.2     | CVE-2025-27818  | -     | -       | -               | ossindex 
maven      | commons-net:commons-net                    | 3.6       | CVE-2021-37533  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.8.0     | CVE-2024-56128  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.8.0     | CVE-2025-27817  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.8.0     | CVE-2025-27818  | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2021-2471   | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2022-21363  | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.26    | CVE-2023-22102  | -     | -       | -               | ossindex 
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.8    | CVE-2025-55752  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress        | 1.21      | CVE-2024-25710  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-compress        | 1.21      | CVE-2024-26308  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core        | 2.24.0    | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-text            | 1.9       | CVE-2022-42889  | -     | -       | -               | ossindex 
maven      | org.apache.poi:poi-ooxml                   | 5.2.4     | CVE-2025-31672  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2020-0187   | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2023-33201  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2023-33202  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2024-29857  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2024-30171  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.62      | CVE-2024-34447  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.7.1     | CVE-2024-56128  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.7.1     | CVE-2025-27817  | -     | -       | -               | ossindex 
maven      | org.apache.kafka:kafka-clients             | 3.7.1     | CVE-2025-27818  | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2021-2471   | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2022-21363  | -     | -       | -               | ossindex 
maven      | mysql:mysql-connector-java                 | 8.0.24    | CVE-2023-22102  | -     | -       | -               | ossindex 
maven      | org.apache.zookeeper:zookeeper             | 3.8.2     | CVE-2023-44981  | -     | -       | -               | ossindex 
maven      | org.apache.zookeeper:zookeeper             | 3.8.2     | CVE-2024-23944  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-1471   | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-25857  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-38749  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-38750  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-38751  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-38752  | -     | -       | -               | ossindex 
maven      | org.yaml:snakeyaml                         | 1.28      | CVE-2022-41854  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core                | 1.5.18    | CVE-2025-11226  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core                | 1.5.18    | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | com.google.guava:guava                     | 22.0      | CVE-2018-10237  | -     | -       | -               | ossindex 
maven      | com.google.guava:guava                     | 22.0      | CVE-2023-2976   | -     | -       | -               | ossindex 
maven      | com.google.guava:guava                     | 22.0      | CVE-2020-8908   | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.69      | CVE-2023-33201  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.69      | CVE-2023-33202  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.69      | CVE-2024-29857  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.69      | CVE-2024-30171  | -     | -       | -               | ossindex 
maven      | org.bouncycastle:bcprov-jdk15on            | 1.69      | CVE-2024-34447  | -     | -       | -               | ossindex 
maven      | ch.qos.logback:logback-core                | 1.5.21    | CVE-2026-1225   | -     | -       | -               | ossindex 
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.7    | CVE-2025-48988  | -     | -       | -               | ossindex 
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.7    | CVE-2025-55752  | -     | -       | -               | ossindex 
maven      | org.apache.velocity:velocity               | 1.6.4     | CVE-2020-13936  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3           | 3.11      | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | commons-net:commons-net                    | 3.7.1     | CVE-2021-37533  | -     | -       | -               | ossindex 
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.6    | CVE-2025-48988  | -     | -       | -               | ossindex 
maven      | org.apache.tomcat.embed:tomcat-embed-core  | 11.0.6    | CVE-2025-55752  | -     | -       | -               | ossindex 
maven      | junit:junit                                | 4.8.2     | CVE-2020-15250  | -     | -       | -               | ossindex 
maven      | junit:junit                                | 4.8.1     | CVE-2020-15250  | -     | -       | -               | ossindex 
maven      | org.apache.commons:commons-lang3           | 3.14.0    | CVE-2025-48924  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core        | 2.24.2    | CVE-2025-68161  | -     | -       | -               | ossindex 
maven      | org.apache.logging.log4j:log4j-core        | 2.24.1    | CVE-2025-68161  | -     | -       | -               | ossindex 
